Fullt mannskap
Plass;Seilnr;Båt;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;NOR-759;SALACIA;Albin eXpress;Marius Bakke (BUND
2;NOR-11649;SIRENE;First 31.7;Siri Sorteberg (ASKR
3;NOR-306;TEAM 24/7;Melges 24;Steinar Waler (RØYK
Shorthand
Plass;Seilnr;Båt;Båttype;HCP;Reell;Justert;Poeng;Race 1;
1;NOR-13063;WII 2;Farr 30 MOD;Ole Aabel (ASKR
2;NOR-5975;BRUNHILDUR;X-79;Sindre Bakke (BUND
3;NOR-12488;LETHE;First 34.7;Øyvind Knudsen (MOSS
4;NOR-15788;OFF COURSE;Dehler;Marius Løken (RØYK
5;NOR-10203;JAKOBINE;J/92;Yngve Lønmo (HURU
6;NOR-026;Pakalolo II;Farr 30;Marius Andersen (FROG
7;NOR-7006;LURINGEN;Finngulf 39;Tommy Bergman (ASKR
8;NOR-30048;HYRROKKIN;Dehler 30;Sigmund Andre Hertzberg (TØSF
9;NOR-33002;PRETTY FAST;Sun Fast 3300;Lars-Fredrik Moe-Helgesen (DSSF
10;NOR-10954;PURAVIDA;Bavaria 38 Match;Carl Hjalmar Knap (ASKR
11;NOR-16220;TETRAKTYS;Figaro2;Kristian Jerpetjøn (NESO
12;NOR-10701;OUT OF OFFICE;First 36.7;Geir Kristensen (ASKR
13;NOR-14220;TRACK;First 31.7;Geir Kristensen (HURU
14;NOR-11348;CHRIMAR;Benetau first 31.7;Rune Fartum (HURU
15;NOR-5952;EXCITER;Scanmar 33;Oddvar Eide (HURU
16;NOR-12057;TIME BANDIT;Grand Soleil 37;Morten Westberg (KNS
17;NOR-14760;ILLUMINATI;Grand Soleil 43B;Håkon Hjorthøy (ASKR
18;NOR-33005;ARGO VIII;Sunfast 3300;Frode Tobiasson (BUND
19;NOR-16032;MUSIKANA;Dehler30 OD;Jan Birger Jansen (KNS
